% Author: Cyriaque Brousse

@RELATION voice

% ===============================
%            header
% ===============================
@ATTRIBUTE pitchMean     NUMERIC
@ATTRIBUTE pitchMedian 	 NUMERIC
@ATTRIBUTE pitchStdDev 	 NUMERIC
@ATTRIBUTE pitchMax 	 NUMERIC
@ATTRIBUTE pitchRange 	 NUMERIC
@ATTRIBUTE pitchUpSlopeMedian 	 NUMERIC
@ATTRIBUTE pitchDownSlopeMedian 	 NUMERIC
@ATTRIBUTE pitchUpFramesRatio 	 NUMERIC
@ATTRIBUTE pitchVoicedFramesRatio 	 NUMERIC
@ATTRIBUTE pitchPeaksNum 	 NUMERIC
@ATTRIBUTE pitchPeaksMean 	 NUMERIC
@ATTRIBUTE pitchPeaksStdDev 	 NUMERIC
@ATTRIBUTE pitchPeaksRange 	 NUMERIC
@ATTRIBUTE pitchPeaksDistMean 	 NUMERIC
@ATTRIBUTE pitchPeaksDistStdDev 	 NUMERIC
@ATTRIBUTE pitchPeaksDistRange 	 NUMERIC
@ATTRIBUTE pitchPeaksDistMin 	 NUMERIC
@ATTRIBUTE energyMean 	 NUMERIC
@ATTRIBUTE energyMedian 	 NUMERIC
@ATTRIBUTE energyStdDev 	 NUMERIC
@ATTRIBUTE energyMax 	 NUMERIC
@ATTRIBUTE energyRange 	 NUMERIC
@ATTRIBUTE energyUpSlopeMedian 	 NUMERIC
@ATTRIBUTE energyDownSlopeMedian 	 NUMERIC
@ATTRIBUTE energyUpFramesRatio 	 NUMERIC
@ATTRIBUTE band250.0_energyMean 	 NUMERIC
@ATTRIBUTE band250.0_energyMedian 	 NUMERIC
@ATTRIBUTE band250.0_energyStdDev 	 NUMERIC
@ATTRIBUTE band250.0_energyMax 	 NUMERIC
@ATTRIBUTE band250.0_energyRange 	 NUMERIC
@ATTRIBUTE band250.0_energyRatio 	 NUMERIC
@ATTRIBUTE band3500.0_energyMean 	 NUMERIC
@ATTRIBUTE band3500.0_energyMedian 	 NUMERIC
@ATTRIBUTE band3500.0_energyStdDev 	 NUMERIC
@ATTRIBUTE band3500.0_energyMax 	 NUMERIC
@ATTRIBUTE band3500.0_energyRange 	 NUMERIC
@ATTRIBUTE band3500.0_energyRatio 	 NUMERIC
@ATTRIBUTE band8000.0_energyMean 	 NUMERIC
@ATTRIBUTE band8000.0_energyMedian 	 NUMERIC
@ATTRIBUTE band8000.0_energyStdDev 	 NUMERIC
@ATTRIBUTE band8000.0_energyMax 	 NUMERIC
@ATTRIBUTE band8000.0_energyRange 	 NUMERIC
@ATTRIBUTE band8000.0_energyRatio 	 NUMERIC
@ATTRIBUTE band750.0_energyMean 	 NUMERIC
@ATTRIBUTE band750.0_energyMedian 	 NUMERIC
@ATTRIBUTE band750.0_energyStdDev 	 NUMERIC
@ATTRIBUTE band750.0_energyMax 	 NUMERIC
@ATTRIBUTE band750.0_energyRange 	 NUMERIC
@ATTRIBUTE band750.0_energyRatio 	 NUMERIC
@ATTRIBUTE band1500.0_energyMean 	 NUMERIC
@ATTRIBUTE band1500.0_energyMedian 	 NUMERIC
@ATTRIBUTE band1500.0_energyStdDev 	 NUMERIC
@ATTRIBUTE band1500.0_energyMax 	 NUMERIC
@ATTRIBUTE band1500.0_energyRange 	 NUMERIC
@ATTRIBUTE band1500.0_energyRatio 	 NUMERIC
@ATTRIBUTE band6000.0_energyMean 	 NUMERIC
@ATTRIBUTE band6000.0_energyMedian 	 NUMERIC
@ATTRIBUTE band6000.0_energyStdDev 	 NUMERIC
@ATTRIBUTE band6000.0_energyMax 	 NUMERIC
@ATTRIBUTE band6000.0_energyRange 	 NUMERIC
@ATTRIBUTE band6000.0_energyRatio 	 NUMERIC
@ATTRIBUTE band2500.0_energyMean 	 NUMERIC
@ATTRIBUTE band2500.0_energyMedian 	 NUMERIC
@ATTRIBUTE band2500.0_energyStdDev 	 NUMERIC
@ATTRIBUTE band2500.0_energyMax 	 NUMERIC
@ATTRIBUTE band2500.0_energyRange 	 NUMERIC
@ATTRIBUTE band2500.0_energyRatio 	 NUMERIC
@ATTRIBUTE band4500.0_energyMean 	 NUMERIC
@ATTRIBUTE band4500.0_energyMedian 	 NUMERIC
@ATTRIBUTE band4500.0_energyStdDev 	 NUMERIC
@ATTRIBUTE band4500.0_energyMax 	 NUMERIC
@ATTRIBUTE band4500.0_energyRange 	 NUMERIC
@ATTRIBUTE band4500.0_energyRatio 	 NUMERIC
@ATTRIBUTE filename 	 STRING
@ATTRIBUTE class 	 {wanting,unfriendly,touched,sure,unsure,excited,kind,happy,angry,thinking,disbelieving,liked,fond,bothered,disgusted,romantic,sorry,sad,afraid,interested,suprised,bored,hurt,sneaky}

% =================================================================

@DATA

245.12949,86.47059,103.46016,365.81305,279.34247,1.1457138,-225.80402,0.1724138,0.3448276,3,346.787841796875,21.8455444827904,42.882110595703125,0.3250793591141701,0.16418986562693433,0.2321995347738266,0.20897959172725677,2.436952,4.1250996E-6,4.7097006,21.368088,21.368084,4.3748105E-7,-12.111993,0.3448276,3.2574546,3.3013448E-6,6.557026,29.5238,29.523796,1.3366921,0.05640004,1.3714643E-7,0.1420834,0.8737681,0.873768,0.023143679,0.018454976,1.9940302E-7,0.056974936,0.44065127,0.44065106,0.0075729745,0.26502916,3.7499495E-7,0.53007865,2.3488464,2.348846,0.10875436,0.22247086,3.1540307E-7,0.43687972,1.7726,1.7725997,0.091290615,0.04048143,2.3836871E-7,0.13409582,1.0462419,1.0462416,0.0166115,0.17658949,2.9895065E-7,0.41381353,2.2244332,2.224433,0.07246326,0.028184073,1.160212E-7,0.07910644,0.55077404,0.5507739,0.011565296,0100104P5Thumiliating,unfriendly
261.7777,88.97578,72.58482,372.9304,283.95462,0.45007324,-189.40933,0.22222222,0.46153846,6,326.48230234781903,64.05705504167665,170.1814422607422,0.18575963675975798,0.10766649646235302,0.2554194927215576,0.1160997748374939,3.5970342,4.027593E-5,4.5825934,24.799782,24.799742,1.5884129E-5,-13.5423355,0.37606838,4.651853,2.154512E-5,6.3265486,34.482185,34.482162,1.2932469,0.047213774,1.4271252E-7,0.08366373,0.33509758,0.33509743,0.01312575,0.24861558,2.0877555E-7,0.6810776,3.1077642,3.107764,0.06911682,0.3911548,2.8822824E-6,0.61991286,3.48362,3.483617,0.1087437,0.11751505,1.4698567E-6,0.14658673,0.7578188,0.7578173,0.032669984,0.31517398,2.2162209E-7,0.8442818,3.5796063,3.579606,0.08762051,0.042579807,3.5104716E-7,0.055966612,0.2101462,0.21014585,0.011837476,0.09354622,8.975916E-8,0.23237622,1.0116549,1.0116547,0.026006486,0100104P6Thumiliating,unfriendly
189.81819,119.72366,59.491165,355.90323,236.17957,0.42079163,-230.54828,0.20588236,0.30882353,2,257.73889923095703,138.82532616090282,196.3286590576172,0.16253967583179474,0.0,0.0,0.16253967583179474,1.3478066,1.7367785E-4,1.5463136,7.909472,7.9092984,0.028430054,-5.5485096,0.19117647,1.7430295,6.638211E-5,2.1726208,11.254548,11.254481,1.2932341,0.09480385,1.3234545E-7,0.12753907,0.43179595,0.43179584,0.07033936,0.009414644,1.13616096E-7,0.010481094,0.04332384,0.04332373,0.0069851596,0.21395251,5.7869247E-6,0.26052666,1.1510984,1.1510925,0.15874127,0.18943137,1.3674764E-6,0.2868261,1.4318159,1.4318146,0.14054789,0.021177422,1.3185058E-7,0.025488496,0.10714611,0.10714597,0.015712509,0.12556387,2.4348589E-7,0.16694656,0.7429043,0.74290407,0.09316164,0.024178639,8.833224E-8,0.032617085,0.137026,0.13702591,0.01793925,0100104R5Thumiliating,unfriendly
212.77582,108.95221,88.2088,400.4239,291.47168,0.94659424,-201.16771,0.11392405,0.37974682,2,289.70326232910156,156.58261209892794,221.44125366210938,0.1160997748374939,0.0,0.0,0.1160997748374939,2.144932,2.0666137E-5,5.995364,38.091373,38.091354,1.1005572E-5,-21.94778,0.37974682,3.0880353,2.0868942E-5,9.007875,56.399063,56.399044,1.4396892,0.011563741,1.8813668E-7,0.025543502,0.14577642,0.14577623,0.005391192,0.0061226543,2.9484957E-7,0.018725691,0.14854556,0.14854527,0.0028544748,0.35107726,1.6485717E-6,0.86174625,5.550295,5.5502934,0.16367757,0.11621199,6.457448E-7,0.22405465,1.140428,1.1404274,0.0541798,0.009445284,2.4001133E-7,0.023174012,0.17517217,0.17517193,0.0044035353,0.040777348,2.5386748E-7,0.09399246,0.522884,0.5228838,0.01901102,0.0049701706,1.1699991E-7,0.008583363,0.043279923,0.043279808,0.0023171692,0100104R6Thumiliating,unfriendly
300.75598,156.372,91.95835,452.38712,296.01514,2.2482605,-210.74709,0.118421055,0.35526314,4,380.85301971435547,83.04325123138769,190.82504272460938,0.17801965276400247,0.05843560480494483,0.1160997748374939,0.1160997748374939,1.2552707,1.8863179E-6,1.9952061,8.774304,8.7743025,8.4269004E-8,-5.121753,0.32894737,1.5763298,1.827603E-6,2.6256483,12.716445,12.716443,1.2557688,0.07684381,1.2279948E-7,0.25358936,1.4577211,1.457721,0.061216924,0.07527463,2.718102E-7,0.3324605,2.1493285,2.1493282,0.05996685,0.22053416,6.988867E-8,0.56804776,2.9106882,2.9106882,0.17568654,0.14216459,1.6760917E-7,0.38484108,2.0169833,2.016983,0.11325412,0.09364046,2.9778138E-7,0.36991853,2.586502,2.5865018,0.07459782,0.1282277,1.4848743E-7,0.37692106,2.5140908,2.5140905,0.10215143,0.035420384,1.3676704E-7,0.09940352,0.49811098,0.49811083,0.028217327,0100104U6Thumiliating,unfriendly
164.29988,103.846886,34.463337,211.46156,107.61468,0.22525024,-35.327286,0.10526316,0.30526316,3,186.2685801188151,41.77768591761501,73.41755676269531,0.2554195001721382,0.06567594835811616,0.09287981688976288,0.20897959172725677,0.6964481,2.172368E-6,1.0026513,3.7968154,3.7968132,1.5213118E-8,-1.4337914,0.36842105,0.8767579,2.112911E-6,1.2936347,4.950301,4.9502993,1.2588992,0.03520542,1.2064204E-7,0.08666448,0.46213892,0.4621388,0.050549954,0.006880499,1.8172969E-7,0.013666771,0.0596032,0.059603017,0.009879414,0.09965371,9.9768734E-8,0.16432993,0.79377127,0.79377115,0.1430885,0.08296009,1.4143414E-7,0.16449948,0.6384366,0.6384365,0.11911885,0.012866831,2.409652E-7,0.027168946,0.12818293,0.1281827,0.018474933,0.118869096,1.2136029E-7,0.28238043,1.1593676,1.1593674,0.17067905,0.0099720275,8.5925706E-8,0.023243213,0.14355348,0.14355339,0.0143184075,0100104Z5Thumiliating,unfriendly
143.15744,112.18677,14.212193,170.55254,58.36577,0.19960022,-49.715103,0.08450704,0.4225352,3,165.87203470865884,4.082292969236566,7.50531005859375,0.08126984164118767,0.016418984455351008,0.02321995049715042,0.06965986639261246,2.1531973,5.3377487E-5,2.2891643,8.126082,8.126029,0.010100603,-3.059352,0.30985916,2.5777178,4.3048705E-5,2.9235249,10.524488,10.524446,1.1971582,0.018234288,1.0096112E-7,0.016974103,0.07729032,0.077290215,0.008468471,0.0062511805,1.7778336E-7,0.0051523657,0.019145854,0.019145677,0.0029032084,0.670795,4.2202787E-6,0.8830266,3.7667134,3.766709,0.3115344,0.15283789,9.936432E-7,0.16187328,0.61961937,0.61961836,0.07098183,0.010521914,2.0523768E-7,0.009382904,0.040640876,0.04064067,0.0048866463,0.045400944,1.9724513E-7,0.05100387,0.26270533,0.26270512,0.021085361,0.009684177,9.7115844E-8,0.00982983,0.05139233,0.051392235,0.00449758,0100203P3Tdetesting,unfriendly
173.30545,98.86892,129.44427,571.3207,472.45175,0.06600189,-343.77707,0.078431375,0.29411766,2,225.3150177001953,177.99701986886834,251.72579956054688,0.2554194927215576,0.0,0.0,0.2554194927215576,1.5739923,4.4516774E-4,2.7512498,13.194722,13.194277,4.034406E-4,-11.417103,0.3137255,1.8906034,4.4506992E-4,3.4332447,17.269753,17.269308,1.2011517,0.06320566,8.640913E-7,0.09825263,0.3526282,0.35262734,0.04015627,0.012207933,2.9749324E-7,0.01757445,0.0690282,0.0690279,0.007756031,0.5244232,4.957264E-5,1.0508901,4.844592,4.8445425,0.33318028,0.75104856,2.0162459E-5,1.5513076,6.328552,6.3285317,0.47716153,0.025479786,5.8623505E-7,0.037840452,0.14917138,0.1491708,0.016188,0.3063927,3.3125834E-6,0.4685393,1.6546597,1.6546564,0.1946596,0.017854791,3.5769415E-7,0.026886545,0.0981096,0.098109245,0.011343634,0100203P5Tdetesting,unfriendly
260.06586,95.19234,94.154816,430.88327,335.69092,0.00491333,-206.87132,0.20731707,0.4390244,5,267.5358489990234,110.36955298138642,258.0009307861328,0.1857596393674612,0.12286845193916186,0.27863945811986923,0.06965986639261246,1.8256003,7.040284E-5,2.3686855,10.175137,10.175066,1.1619995E-6,-3.5517986,0.3902439,2.249207,6.89852E-5,2.8999772,11.577364,11.577295,1.232037,0.06561818,4.8887466E-7,0.12044094,0.49587756,0.4958771,0.035943344,0.012554872,9.709971E-7,0.019310916,0.07109488,0.07109391,0.0068771197,0.46333957,1.3723617E-6,0.86124575,4.3176656,4.317664,0.25380123,0.4910855,1.2047255E-6,1.1039457,5.0729365,5.072935,0.26899946,0.026204012,1.5891065E-6,0.04305522,0.15201902,0.15201743,0.014353642,0.21113507,4.2733464E-7,0.41960862,1.6221524,1.622152,0.11565241,0.023529796,6.2294015E-7,0.04150238,0.18407393,0.1840733,0.012888799,0100203P6Tdetesting,unfriendly
