% Author: Cyriaque Brousse

@RELATION voice

% ===============================
%            header
% ===============================
@ATTRIBUTE pitchMean     NUMERIC
@ATTRIBUTE pitchMedian 	 NUMERIC
@ATTRIBUTE pitchStdDev 	 NUMERIC
@ATTRIBUTE pitchMax 	 NUMERIC
@ATTRIBUTE pitchRange 	 NUMERIC
@ATTRIBUTE pitchUpSlopeMedian 	 NUMERIC
@ATTRIBUTE pitchUpSlopeMean 	 NUMERIC
@ATTRIBUTE pitchDownSlopeMedian 	 NUMERIC
@ATTRIBUTE pitchDownSlopeMean 	 NUMERIC
@ATTRIBUTE pitchUpFramesRatio 	 NUMERIC
@ATTRIBUTE pitchVoicedFramesRatio 	 NUMERIC
@ATTRIBUTE pitchPeaksNum 	 NUMERIC
@ATTRIBUTE pitchPeaksMean 	 NUMERIC
@ATTRIBUTE pitchPeaksStdDev 	 NUMERIC
@ATTRIBUTE pitchPeaksRange 	 NUMERIC
@ATTRIBUTE pitchPeaksDistMean 	 NUMERIC
@ATTRIBUTE pitchPeaksDistStdDev 	 NUMERIC
@ATTRIBUTE pitchPeaksDistRange 	 NUMERIC
@ATTRIBUTE pitchPeaksDistMin 	 NUMERIC
@ATTRIBUTE energyMean 	 NUMERIC
@ATTRIBUTE energyMedian 	 NUMERIC
@ATTRIBUTE energyStdDev 	 NUMERIC
@ATTRIBUTE energyMax 	 NUMERIC
@ATTRIBUTE energyRange 	 NUMERIC
@ATTRIBUTE energyUpSlopeMedian 	 NUMERIC
@ATTRIBUTE energyDownSlopeMedian 	 NUMERIC
@ATTRIBUTE energyUpFramesRatio 	 NUMERIC
@ATTRIBUTE band250.0_energyMean 	 NUMERIC
@ATTRIBUTE band250.0_energyMedian 	 NUMERIC
@ATTRIBUTE band250.0_energyStdDev 	 NUMERIC
@ATTRIBUTE band250.0_energyMax 	 NUMERIC
@ATTRIBUTE band250.0_energyRange 	 NUMERIC
@ATTRIBUTE band250.0_energyRatio 	 NUMERIC
@ATTRIBUTE band3500.0_energyMean 	 NUMERIC
@ATTRIBUTE band3500.0_energyMedian 	 NUMERIC
@ATTRIBUTE band3500.0_energyStdDev 	 NUMERIC
@ATTRIBUTE band3500.0_energyMax 	 NUMERIC
@ATTRIBUTE band3500.0_energyRange 	 NUMERIC
@ATTRIBUTE band3500.0_energyRatio 	 NUMERIC
@ATTRIBUTE band8000.0_energyMean 	 NUMERIC
@ATTRIBUTE band8000.0_energyMedian 	 NUMERIC
@ATTRIBUTE band8000.0_energyStdDev 	 NUMERIC
@ATTRIBUTE band8000.0_energyMax 	 NUMERIC
@ATTRIBUTE band8000.0_energyRange 	 NUMERIC
@ATTRIBUTE band8000.0_energyRatio 	 NUMERIC
@ATTRIBUTE band750.0_energyMean 	 NUMERIC
@ATTRIBUTE band750.0_energyMedian 	 NUMERIC
@ATTRIBUTE band750.0_energyStdDev 	 NUMERIC
@ATTRIBUTE band750.0_energyMax 	 NUMERIC
@ATTRIBUTE band750.0_energyRange 	 NUMERIC
@ATTRIBUTE band750.0_energyRatio 	 NUMERIC
@ATTRIBUTE band1500.0_energyMean 	 NUMERIC
@ATTRIBUTE band1500.0_energyMedian 	 NUMERIC
@ATTRIBUTE band1500.0_energyStdDev 	 NUMERIC
@ATTRIBUTE band1500.0_energyMax 	 NUMERIC
@ATTRIBUTE band1500.0_energyRange 	 NUMERIC
@ATTRIBUTE band1500.0_energyRatio 	 NUMERIC
@ATTRIBUTE band6000.0_energyMean 	 NUMERIC
@ATTRIBUTE band6000.0_energyMedian 	 NUMERIC
@ATTRIBUTE band6000.0_energyStdDev 	 NUMERIC
@ATTRIBUTE band6000.0_energyMax 	 NUMERIC
@ATTRIBUTE band6000.0_energyRange 	 NUMERIC
@ATTRIBUTE band6000.0_energyRatio 	 NUMERIC
@ATTRIBUTE band2500.0_energyMean 	 NUMERIC
@ATTRIBUTE band2500.0_energyMedian 	 NUMERIC
@ATTRIBUTE band2500.0_energyStdDev 	 NUMERIC
@ATTRIBUTE band2500.0_energyMax 	 NUMERIC
@ATTRIBUTE band2500.0_energyRange 	 NUMERIC
@ATTRIBUTE band2500.0_energyRatio 	 NUMERIC
@ATTRIBUTE band4500.0_energyMean 	 NUMERIC
@ATTRIBUTE band4500.0_energyMedian 	 NUMERIC
@ATTRIBUTE band4500.0_energyStdDev 	 NUMERIC
@ATTRIBUTE band4500.0_energyMax 	 NUMERIC
@ATTRIBUTE band4500.0_energyRange 	 NUMERIC
@ATTRIBUTE band4500.0_energyRatio 	 NUMERIC
@ATTRIBUTE filename 	 STRING
@ATTRIBUTE class_coarse 	 {wanting,unfriendly,touched,sure,unsure,excited,kind,happy,angry,thinking,disbelieving,liked,fond,bothered,disgusted,romantic,sorry,sad,afraid,interested,suprised,bored,hurt,sneaky}
@ATTRIBUTE class_binary 	 {positive,negative}

% =================================================================

@DATA

203.78595,232.61205,65.88493,302.7619,216.29132,18.891937,34.38412,-8.9893265,-39.22438,0.14942528,0.31034482,5,249.26107177734374,44.945079605903615,122.61698913574219,0.14512471668422222,0.07671961116468218,0.16253968328237534,0.06965986639261246,2.6985111,0.21159738,5.1664476,20.183645,20.183641,0.2055077,-0.1476145,0.37931034,2.7809145,0.137861,5.4614635,21.616795,21.616793,1.0305367,0.03356679,0.002874803,0.110794686,0.85449207,0.8544919,0.012439004,0.0073545375,0.0010619021,0.022113563,0.17133442,0.17133431,0.0027254056,0.203676,0.011484206,0.38466755,1.4375646,1.4375644,0.075477175,0.2812733,0.016457485,0.60632974,2.988558,2.9885578,0.10423277,0.01922167,0.00253706,0.06536548,0.52028155,0.5202813,0.007123065,0.088398755,0.00646936,0.2404839,1.4599371,1.459937,0.032758344,0.022864781,0.0020254443,0.10146839,0.8314207,0.8314206,0.008473109,0100104P5Thumiliating,unfriendly,negative
200.22092,208.76077,50.432137,282.74664,182.46167,8.072144,29.134924,-9.464302,-20.888304,0.1965812,0.44444445,6,245.04114532470703,48.083846598751435,132.70416259765625,0.18111564517021178,0.06010335969075026,0.13931971788406372,0.1160997748374939,3.367111,1.9276128,4.3404245,25.050558,25.05052,0.7396235,-0.9079459,0.3846154,3.3066475,1.5289147,4.2481833,24.427206,24.427177,0.9820429,0.14181347,0.008661347,0.39061928,2.0055664,2.0055661,0.042117257,0.08118983,0.0027440372,0.2248401,0.98286045,0.9828603,0.02411261,0.18887217,0.074940965,0.2675128,1.3457183,1.3457158,0.056093242,0.088217475,0.044440165,0.10230235,0.4326406,0.43263993,0.026199752,0.2263754,0.006329002,0.63623965,3.1441426,3.1441424,0.06723134,0.06674778,0.018716313,0.12337048,0.5774983,0.5774981,0.019823456,0.19581777,0.004853785,0.54318684,2.281337,2.281337,0.058156017,0100104P6Thumiliating,unfriendly,negative
165.46002,143.38516,51.758175,321.13583,215.6564,8.2998085,15.791649,-4.7030945,-33.297318,0.20588236,0.32352942,2,231.58689880371094,126.64131828329732,179.09786987304688,0.16253967583179474,0.0,0.0,0.16253967583179474,1.3782082,1.0498198,1.5065941,7.3973255,7.396931,0.67635274,-0.2753464,0.19117647,1.7106292,1.0938984,1.9931232,9.333561,9.333356,1.2411981,0.05471617,0.028268266,0.08039657,0.39163244,0.39163148,0.039700948,0.006146526,0.004807138,0.00719501,0.03504466,0.035044253,0.004459795,0.18200746,0.13068694,0.21289562,0.9087464,0.9087131,0.13206093,0.18911386,0.101731345,0.27950752,1.4708477,1.4708277,0.1372172,0.014460803,0.010692244,0.017309923,0.08332686,0.0833261,0.010492466,0.11269795,0.08450083,0.13883816,0.6475726,0.6475694,0.08177136,0.011873211,0.008631115,0.015974434,0.07896159,0.07896118,0.008614962,0100104R5Thumiliating,unfriendly,negative
206.46132,179.44753,77.63521,377.3841,273.69476,30.364838,45.034023,-7.2453613,-32.180313,0.1392405,0.39240506,4,264.23412322998047,85.82110230467073,207.9958953857422,0.16253968079884848,0.06965986639261258,0.13931973278522491,0.09287981688976288,1.816855,0.23494968,4.7832165,24.985472,24.985462,0.14198917,-0.09292784,0.39240506,2.5355377,0.22667173,7.2194805,40.409725,40.409718,1.3955642,0.009125269,0.0015277823,0.018539015,0.09369925,0.093699075,0.0050225635,0.00432163,4.358913E-4,0.0120235095,0.093832634,0.093832485,0.0023786323,0.2714789,0.012437468,0.615809,3.3955367,3.395535,0.14942244,0.096629374,0.00520033,0.1739327,0.71539617,0.7153956,0.053184967,0.008032199,9.781823E-4,0.019728817,0.14920132,0.14920114,0.0044209356,0.037264727,0.001911859,0.085019976,0.40179813,0.40179792,0.020510567,0.004477979,6.888313E-4,0.0075215483,0.040280156,0.040280055,0.0024646872,0100104R6Thumiliating,unfriendly,negative
182.97562,165.77965,53.07294,273.7177,172.81519,21.852737,54.47382,-6.9762115,-21.645178,0.09210526,0.43421054,5,230.42855529785157,56.13186593804205,107.93806457519531,0.17414965853095055,0.08154579892798669,0.16253967583179474,0.09287981688976288,1.3790002,0.27471846,2.162293,8.828869,8.828868,0.33636928,-0.23801613,0.35526314,1.3375149,0.18663403,2.3101068,10.941999,10.9419985,0.9699164,0.052086093,0.0015736523,0.18195057,1.1445853,1.1445851,0.037770912,0.010196159,5.455349E-4,0.032293875,0.16770409,0.16770403,0.0073938775,0.17495224,0.020331288,0.5498899,3.7893653,3.7893653,0.1268689,0.17278592,0.011676791,0.43542024,2.6514518,2.6514516,0.12529796,0.03174019,0.0011830556,0.107447535,0.57053924,0.5705391,0.023016812,0.07089167,0.004085721,0.21774036,1.6371905,1.6371903,0.051408023,0.044658855,8.490336E-4,0.16543987,1.0059623,1.0059621,0.03238495,0100104U6Thumiliating,unfriendly,negative
205.82205,196.64124,67.311874,414.6313,326.4331,4.6389313,37.450264,-6.358452,-37.94372,0.18947369,0.38947368,3,313.53501383463544,87.59696679564986,154.45266723632812,0.3250793591141701,0.16418986562693433,0.2321995347738266,0.20897959172725677,0.7179699,0.11681967,1.0942358,6.1682844,6.168284,0.09721039,-0.08194819,0.30526316,0.941493,0.16343394,1.3941324,7.1648803,7.16488,1.3113265,0.095624596,0.0015772824,0.25532493,1.6848581,1.6848581,0.13318747,0.010280396,9.996716E-4,0.02613954,0.19797859,0.19797845,0.014318701,0.17699668,0.022766598,0.30667582,1.7030933,1.7030933,0.24652381,0.06727102,0.005565565,0.12430319,0.7244017,0.72440165,0.093696155,0.0226981,0.0017493708,0.066164404,0.53151864,0.5315185,0.031614278,0.088902354,0.0032988812,0.2086451,1.2078619,1.2078619,0.123824626,0.027517654,8.1447343E-4,0.08714938,0.70545006,0.70545,0.03832703,0100104Z5Thumiliating,unfriendly,negative
190.08641,194.16733,40.356586,232.40932,138.50703,2.0003738,28.18468,-2.1566772,-11.86308,0.12676056,0.46478873,3,231.10358174641928,1.3332460114931635,2.664886474609375,0.1277097500860691,0.08209493281346716,0.1160997673869133,0.06965986639261246,2.2956085,1.7233713,2.3881803,10.572762,10.572689,0.2519273,-0.25880218,0.30985916,2.964563,2.0904937,3.2125676,13.828083,13.828007,1.2914062,0.03724429,0.021173438,0.060518958,0.40508607,0.40508598,0.016224148,0.010089267,0.007682182,0.010480845,0.053815465,0.053815376,0.0043950295,0.8942168,0.5621845,1.1609713,6.2564726,6.256463,0.38953367,0.3117943,0.15624174,0.37298492,1.5833153,1.5833133,0.13582207,0.02143243,0.018027503,0.02226661,0.13934714,0.13934702,0.009336274,0.074074954,0.050504446,0.084284216,0.3805395,0.3805392,0.03226811,0.016892323,0.010426508,0.028293293,0.20680782,0.20680776,0.0073585385,0100203P3Tdetesting,unfriendly,negative
165.70856,132.34491,86.903,439.08145,342.69064,19.255966,50.854057,-7.5394135,-47.16295,0.09803922,0.27450982,2,284.4277877807617,218.7133085836628,309.3073272705078,0.27863946557044983,0.0,0.0,0.27863946557044983,1.4226813,0.2770358,2.6034591,10.469922,10.468876,0.13069177,-0.29332605,0.23529412,1.6190797,0.36571348,2.9639056,12.479533,12.478059,1.138048,0.17376503,0.009117093,0.29932916,1.1927933,1.1927897,0.12213911,0.017381731,0.0017041106,0.027489394,0.097361796,0.09736085,0.012217586,0.5394514,0.11182318,1.2590955,5.6799736,5.6797457,0.3791794,0.57942545,0.040793043,1.2861696,5.369763,5.3697133,0.40727705,0.040324036,0.0036361802,0.06496948,0.22147706,0.22147518,0.028343689,0.37647647,0.017868899,0.69797736,3.2742183,3.2742069,0.2646246,0.03835835,0.0024410472,0.06377341,0.22468662,0.22468531,0.02696201,0100203P5Tdetesting,unfriendly,negative
199.5339,213.5533,63.94365,325.2756,209.84335,7.5185776,18.173462,-9.411575,-19.707811,0.2195122,0.4878049,5,241.04034118652345,54.35666219672477,147.53977966308594,0.21478458121418953,0.10619586768965864,0.2554195076227188,0.09287981688976288,1.8048048,0.9031049,2.3063102,10.012765,10.012757,0.50048864,-0.4978372,0.36585367,2.0093987,0.842418,2.742825,11.394598,11.39459,1.1133606,0.030859008,0.0028070295,0.05533947,0.23014036,0.23013976,0.017098252,0.0066412725,9.1024436E-4,0.01080879,0.050946213,0.050945535,0.0036797733,0.42848733,0.044045348,0.9021194,4.2027974,4.202797,0.23741478,0.45043996,0.019548016,1.0177999,5.288388,5.2883873,0.24957821,0.015678376,0.0020023752,0.025404131,0.10831827,0.10831689,0.00868702,0.10787719,0.0060070683,0.20575616,1.0090382,1.0090376,0.05977222,0.013215156,0.0016487038,0.028712139,0.20137729,0.20137638,0.007322208,0100203P6Tdetesting,unfriendly,negative
